gloss,video_count,sample_videos,dialects_represented,avg_frames,avg_fps
văn nghệ,3,W03793B.mp4;W03793N.mp4;W03793T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),133.0,30.0
vải lụa,3,D0326B.mp4;D0326N.mp4;D0326T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),115.7,30.0
vấn đề,3,W03799B.mp4;W03799N.mp4;W03799T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),133.3,30.0
vẫn,3,D0168B.mp4;D0168N.mp4;D0168T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),105.7,30.0
vật nuôi,3,W03809B.mp4;W03809N.mp4;W03809T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),170.7,30.0
vắng,3,W03795B.mp4;W03795N.mp4;W03795T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),167.3,30.0
x,3,D0517B.mp4;D0517T.mp4;D0517N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),128.3,28.0
xanh xao,3,W03938B.mp4;W03938N.mp4;W03938T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),117.7,30.0
xe cảnh sát,3,W03962B.mp4;W03962N.mp4;W03962T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),127.7,30.0
xe khách,3,W03967B.mp4;W03967N.mp4;W03967T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),131.0,30.0
xem,3,D0192B.mp4;D0192N.mp4;D0192T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),96.7,30.0
xuất hiện,3,W04010B.mp4;W04010N.mp4;W04010T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),121.3,30.0
xà phòng,3,W03930B.mp4;W03930N.mp4;W03930T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),107.7,30.0
xà phòng giặt,3,W03931B.mp4;W03931N.mp4;W03931T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),117.7,30.0
xây,3,W03956B.mp4;W03956N.mp4;W03956T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),136.3,30.0
xã hội,3,W03935B.mp4;W03935N.mp4;W03935T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),133.3,30.0
xưa,3,W04025B.mp4;W04025N.mp4;W04025T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),137.7,30.0
yêu cầu,3,W04057B.mp4;W04057N.mp4;W04057T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),199.7,30.0
yêu mến (yêu quí),3,W04058B.mp4;W04058N.mp4;W04058T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),129.7,30.0
yếu,3,W04059B.mp4;W04059N.mp4;W04059T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),101.3,30.0
áo phông,3,W00035B.mp4;W00035N.mp4;W00035T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),159.0,30.0
áo đồng phục,3,W00032B.mp4;W00032N.mp4;W00032T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),165.7,30.0
â,3,D0491B.mp4;D0491N.mp4;D0491T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),110.0,24.0
ân hận,3,W00057B.mp4;W00057N.mp4;W00057T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),127.3,30.0
ê,3,D0497B.mp4;D0497N.mp4;D0497T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),111.3,24.0
ô,3,D0507B.mp4;D0507N.mp4;D0507T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),73.3,24.0
ông bà,3,D0151B.mp4;D0151N.mp4;D0151T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),112.7,30.0
ông ngoại,3,W02575N.mp4;W02575B.mp4;W02575T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),100.7,30.0
ông nội,3,W02576B.mp4;W02576N.mp4;W02576T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),117.0,30.0
ý nghĩa,3,W04038N.mp4;W04038T.mp4;W04038B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),123.0,30.0
ă,3,D0490B.mp4;D0490N.mp4;D0490T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),115.0,24.0
đen láy (như đen nhánh),3,W01153B.mp4;W01153N.mp4;W01153T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),115.7,30.0
đi dạo,3,D0157B.mp4;D0157N.mp4;D0157T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),127.3,30.0
điện,3,W01205N.mp4;W01205T.mp4;W01205B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),98.0,30.0
chơi,2,W00639B.mp4;W00639T.mp4,B (Miền Bắc / North);T (Miền Trung / Central),76.0,30.0
bệ hạ,2,W00234B.mp4;W00234T.mp4,B (Miền Bắc / North);T (Miền Trung / Central),149.0,30.0
cổng trường,2,W00825N.mp4;W00825T.mp4,N (Miền Nam / South);T (Miền Trung / Central),114.0,30.0
5000 (năm nghìn),2,D0549T.mp4;D0549B.mp4,B (Miền Bắc / North);T (Miền Trung / Central),80.5,27.0
luân phiên,2,W00638.mp4;W00638N.mp4,N (Miền Nam / South);Neutral / Unspecified,86.0,27.0
cây bàng,2,W00457B.mp4;W00457T.mp4,B (Miền Bắc / North);T (Miền Trung / Central),132.0,30.0
anh họ,2,W00014N.mp4;W00014T.mp4,N (Miền Nam / South);T (Miền Trung / Central),135.0,30.0
khổ,2,W01842N.mp4;W01842.mp4,N (Miền Nam / South);Neutral / Unspecified,155.0,30.0
chị chồng,2,W00571B.mp4;W00571N.mp4,B (Miền Bắc / North);N (Miền Nam / South),127.0,30.0
bột ngọt,2,W00342T.mp4;W00342N.mp4,N (Miền Nam / South);T (Miền Trung / Central),122.0,30.0
làm bài tập,2,W01924.mp4;W01924N.mp4,N (Miền Nam / South);Neutral / Unspecified,107.0,30.0
lễ bế giảng,2,W01977.mp4;W01977B.mp4,B (Miền Bắc / North);Neutral / Unspecified,153.5,30.0
lá cây,2,W01912B.mp4;W01912N.mp4,B (Miền Bắc / North);N (Miền Nam / South),118.0,30.0
g,2,D0498B.mp4;D0498N.mp4,B (Miền Bắc / North);N (Miền Nam / South),124.0,24.0
lâu,2,D0167.mp4;D0167B.mp4,B (Miền Bắc / North);Neutral / Unspecified,183.0,30.0
bên cạnh,2,W00236.mp4;W00236N.mp4,N (Miền Nam / South);Neutral / Unspecified,166.0,30.0
giao thông,2,W01430B.mp4;W01430N.mp4,B (Miền Bắc / North);N (Miền Nam / South),108.0,30.0
lượm,2,D0316.mp4;W02084.mp4,Neutral / Unspecified,96.5,30.0
con ong,2,W00781N.mp4;W00781T.mp4,N (Miền Nam / South);T (Miền Trung / Central),93.0,30.0
giám sát,2,D0255.mp4;W01426.mp4,Neutral / Unspecified,127.5,30.0
hội thảo,2,W01696.mp4;W01696N.mp4,N (Miền Nam / South);Neutral / Unspecified,116.0,30.0
khó khăn,2,W01803B.mp4;W01803N.mp4,B (Miền Bắc / North);N (Miền Nam / South),116.0,30.0
con sư tử,2,W00794N.mp4;W00794T.mp4,N (Miền Nam / South);T (Miền Trung / Central),117.0,30.0
tác động,2,W01301.mp4;W03055.mp4,Neutral / Unspecified,88.5,27.0
bảng chia,2,W00115T.mp4;W00115N.mp4,N (Miền Nam / South);T (Miền Trung / Central),128.0,30.0
tên là gì?,2,W03129N.mp4;W03129T.mp4,N (Miền Nam / South);T (Miền Trung / Central),111.5,30.0
vào mùa,2,W03782.mp4;W03782B.mp4,B (Miền Bắc / North);Neutral / Unspecified,136.0,30.0
rửa chân,2,D0412.mp4;W02886.mp4,Neutral / Unspecified,99.5,30.0
tò mò,2,W03467B.mp4;W03467T.mp4,B (Miền Bắc / North);T (Miền Trung / Central),148.0,30.0
rửa mặt,2,W02887.mp4;D0413.mp4,Neutral / Unspecified,110.0,30.0
sao,2,W02919N.mp4;W02919T.mp4,N (Miền Nam / South);T (Miền Trung / Central),88.0,30.0
bắc nam,2,W00184N.mp4;W00184T.mp4,N (Miền Nam / South);T (Miền Trung / Central),167.0,30.0
tôn trọng,2,W03491.mp4;W03501.mp4,Neutral / Unspecified,118.0,30.0
điều hòa,2,W01213T.mp4;W01213B.mp4,B (Miền Bắc / North);T (Miền Trung / Central),138.0,30.0
điều phối,2,W01212B.mp4;W01212N.mp4,B (Miền Bắc / North);N (Miền Nam / South),97.5,30.0
vầng trăng,2,W03805N.mp4;W03805T.mp4,N (Miền Nam / South);T (Miền Trung / Central),147.0,30.0
đánh răng,2,D0414.mp4;W01112.mp4,Neutral / Unspecified,101.5,30.0
quân đội,2,W02784N.mp4;W02784B.mp4,B (Miền Bắc / North);N (Miền Nam / South),81.0,30.0
ngắt hoa,2,W02345B.mp4;W02345N.mp4,B (Miền Bắc / North);N (Miền Nam / South),97.5,30.0
bướng bỉnh,2,W00390N.mp4;W00390T.mp4,N (Miền Nam / South);T (Miền Trung / Central),154.0,30.0
về 2 (miền bắc),2,D0159B.mp4;D0159T.mp4,B (Miền Bắc / North);T (Miền Trung / Central),132.5,30.0
ngày nhà giáo việt nam,2,W02328N.mp4;W02328T.mp4,N (Miền Nam / South);T (Miền Trung / Central),153.0,30.0
tập thể dục,2,W03116B.mp4;W03116T.mp4,B (Miền Bắc / North);T (Miền Trung / Central),138.0,30.0
tết dương,2,W03132N.mp4;W03132T.mp4,N (Miền Nam / South);T (Miền Trung / Central),107.5,30.0
xe cứu hỏa,2,W03964B.mp4;W03964N.mp4,B (Miền Bắc / North);N (Miền Nam / South),158.0,30.0
trường tiểu học,2,W03663T.mp4;W03663N.mp4,N (Miền Nam / South);T (Miền Trung / Central),130.0,30.0
cháu trai,2,W00498B.mp4;W00498N.mp4,B (Miền Bắc / North);N (Miền Nam / South),90.0,30.0
thêu,2,W03242B.mp4;W03242N.mp4,B (Miền Bắc / North);N (Miền Nam / South),114.0,30.0
tết âm,2,W03131T.mp4;W03131N.mp4,N (Miền Nam / South);T (Miền Trung / Central),101.0,30.0
suy nghĩ,2,W03025N.mp4;W03025T.mp4,N (Miền Nam / South);T (Miền Trung / Central),101.5,30.0
hợp đồng,2,W01707B.mp4;W01707T.mp4,B (Miền Bắc / North);T (Miền Trung / Central),95.0,30.0
sân chơi,2,W02936B.mp4;W02936T.mp4,B (Miền Bắc / North);T (Miền Trung / Central),135.0,30.0
rõ ràng,2,W02864B.mp4;W02864T.mp4,B (Miền Bắc / North);T (Miền Trung / Central),82.0,30.0
xì hơi (đánh rắm),2,W00175.mp4;W00175N.mp4,N (Miền Nam / South);Neutral / Unspecified,78.0,27.0
sĩ diện,2,W02947B.mp4;W02947N.mp4,B (Miền Bắc / North);N (Miền Nam / South),106.0,30.0
quả táo,2,W02757B.mp4;W02757N.mp4,B (Miền Bắc / North);N (Miền Nam / South),83.5,30.0
sơ đồ,2,W03010N.mp4;W03010T.mp4,N (Miền Nam / South);T (Miền Trung / Central),95.0,30.0
quả điều,2,W01211.mp4;W01211N.mp4,N (Miền Nam / South);Neutral / Unspecified,114.0,30.0
ngô,2,W02395T.mp4;W02395N.mp4,N (Miền Nam / South);T (Miền Trung / Central),65.0,30.0
chính phủ,2,W00617T.mp4;W00617B.mp4,B (Miền Bắc / North);T (Miền Trung / Central),93.0,30.0
trái nghĩa,2,W03531N.mp4;W03531T.mp4,N (Miền Nam / South);T (Miền Trung / Central),115.0,30.0
33,2,D0543N.mp4;D0543T.mp4,N (Miền Nam / South);T (Miền Trung / Central),217.5,30.0
chia cắt,1,W00577.mp4,Neutral / Unspecified,93.0,30.0
chia hết,1,W00579.mp4,Neutral / Unspecified,110.0,30.0
chia phần,1,W00580.mp4,Neutral / Unspecified,101.0,30.0
chia rẽ,1,D0335.mp4,Neutral / Unspecified,251.0,30.0
chia sẻ,1,W00581.mp4,Neutral / Unspecified,103.0,30.0
chia tay,1,W00582.mp4,Neutral / Unspecified,134.0,30.0
chia đều,1,W00578.mp4,Neutral / Unspecified,122.0,30.0
chim bồ câu,1,W00602.mp4,Neutral / Unspecified,132.0,30.0
chim chuyền cành,1,W00693.mp4,Neutral / Unspecified,121.0,30.0
chim chào mào,1,W00603.mp4,Neutral / Unspecified,134.0,30.0
chim chích chòe,1,W00604.mp4,Neutral / Unspecified,107.0,30.0
chim chóc,1,W00605.mp4,Neutral / Unspecified,100.0,30.0
chim gõ kiến,1,W00608.mp4,Neutral / Unspecified,133.0,30.0
chim phượng hoàng,1,W00609.mp4,Neutral / Unspecified,126.0,30.0
chim sâu,1,W00610.mp4,Neutral / Unspecified,106.0,30.0
chim sơn ca,1,W00612.mp4,Neutral / Unspecified,89.0,30.0
chim sẻ,1,W00611.mp4,Neutral / Unspecified,93.0,30.0
chim yến,1,W00614.mp4,Neutral / Unspecified,137.0,30.0
chim đại bàng,1,W00606.mp4,Neutral / Unspecified,120.0,30.0
chiên/rán (1)(2),1,D0373.mp4,Neutral / Unspecified,242.0,30.0
chiêng,1,W00593.mp4,Neutral / Unspecified,144.0,30.0
chiếm đoạt,1,W00585.mp4,Neutral / Unspecified,97.0,30.0
chiến khu,1,W00588.mp4,Neutral / Unspecified,97.0,30.0
chiến thắng,1,W00591.mp4,Neutral / Unspecified,97.0,30.0
chiếu phim,1,W00599.mp4,Neutral / Unspecified,97.0,30.0
chiều cao,1,W00594.mp4,Neutral / Unspecified,142.0,30.0
chiều dài,1,W00595.mp4,Neutral / Unspecified,104.0,30.0
chiều rộng,1,W00596.mp4,Neutral / Unspecified,113.0,30.0
chiều tối,1,W00597.mp4,Neutral / Unspecified,102.0,30.0
chong chóng,1,W00630.mp4,Neutral / Unspecified,107.0,30.0
chu vi,1,W00641.mp4,Neutral / Unspecified,124.0,30.0
chui,1,W00669.mp4,Neutral / Unspecified,89.0,30.0
chum,1,W00672.mp4,Neutral / Unspecified,79.0,30.0
chung kết,1,W00678.mp4,Neutral / Unspecified,89.0,30.0
chung tay,1,D0411.mp4,Neutral / Unspecified,89.0,30.0
chuyên biệt,1,W00689.mp4,Neutral / Unspecified,64.0,24.0
chuyên cần,1,W00690.mp4,Neutral / Unspecified,133.0,30.0
chuyền bóng,1,W00692.mp4,Neutral / Unspecified,87.0,30.0
chuyển giao,1,W00700.mp4,Neutral / Unspecified,119.0,30.0
chuyển hướng,1,W00701.mp4,Neutral / Unspecified,107.0,30.0
chuyển vế,1,W00702.mp4,Neutral / Unspecified,91.0,30.0
chuyển đồ,1,W00694.mp4,Neutral / Unspecified,76.0,30.0
chuyển đổi số đo,1,W00696.mp4,Neutral / Unspecified,131.0,30.0
chuyển động,1,W00697.mp4,Neutral / Unspecified,73.0,30.0
chuyển động quay,1,W00699.mp4,Neutral / Unspecified,201.0,30.0
chuyển động đều,1,W00698.mp4,Neutral / Unspecified,107.0,30.0
chuyện lớn,1,D0238.mp4,Neutral / Unspecified,133.0,30.0
chuyện nhỏ,1,D0237.mp4,Neutral / Unspecified,94.0,30.0
chuyện trò,1,W00703.mp4,Neutral / Unspecified,83.0,30.0
chuông,1,W00683.mp4,Neutral / Unspecified,87.0,30.0
chuông nhà,1,W00684.mp4,Neutral / Unspecified,89.0,30.0
chuồng,1,W00685.mp4,Neutral / Unspecified,127.0,30.0
chuỗi hạt,1,W00679.mp4,Neutral / Unspecified,154.0,30.0
chuột quang,1,W00686.mp4,Neutral / Unspecified,92.0,30.0
chàng trai,1,W00488.mp4,Neutral / Unspecified,91.0,30.0
chào,1,W00489.mp4,Neutral / Unspecified,116.0,30.0
chào cờ,1,W00490.mp4,Neutral / Unspecified,92.0,30.0
chào mừng,1,W00492.mp4,Neutral / Unspecified,81.0,30.0
chày,1,W00499.mp4,Neutral / Unspecified,98.0,30.0
cháo sườn,1,D0090.mp4,Neutral / Unspecified,137.0,30.0
chát,1,W00494.mp4,Neutral / Unspecified,76.0,30.0
cháy rừng,1,W00500.mp4,Neutral / Unspecified,88.0,30.0
châm chọc,1,W00515.mp4,Neutral / Unspecified,130.0,30.0
chân dung,1,W00522.mp4,Neutral / Unspecified,67.0,30.0
chân tay,1,W00525.mp4,Neutral / Unspecified,116.0,30.0
chân đất,1,W00523.mp4,Neutral / Unspecified,109.0,30.0
châu á thái bình dương,1,W00542.mp4,Neutral / Unspecified,92.0,30.0
châu đại dương,1,W00544.mp4,Neutral / Unspecified,122.0,30.0
chè đỗ đỏ,1,W00548.mp4,Neutral / Unspecified,95.0,30.0
chèn ép,1,W00552.mp4,Neutral / Unspecified,121.0,30.0
chèo thuyền,1,W00554.mp4,Neutral / Unspecified,154.0,30.0
chém,1,W00550.mp4,Neutral / Unspecified,106.0,30.0
chén,1,W00553.mp4,Neutral / Unspecified,127.0,30.0
chép bài,1,W00555.mp4,Neutral / Unspecified,90.0,30.0
chìa khóa,1,W00583.mp4,Neutral / Unspecified,108.0,30.0
chín,1,W00616.mp4,Neutral / Unspecified,117.0,30.0
chính quyền,1,W00618.mp4,Neutral / Unspecified,106.0,30.0
chính tả,1,W00619.mp4,Neutral / Unspecified,83.0,30.0
chó cắn,1,D0229.mp4,Neutral / Unspecified,94.0,30.0
chó sói,1,W00623.mp4,Neutral / Unspecified,91.0,30.0
chó xù,1,W00624.mp4,Neutral / Unspecified,119.0,30.0
chõ xôi,1,D0472.mp4,Neutral / Unspecified,119.0,30.0
chùa hương,1,W00657.mp4,Neutral / Unspecified,146.0,30.0
chùa một cột,1,W00658.mp4,Neutral / Unspecified,99.0,30.0
chùa yên tử,1,D0471.mp4,Neutral / Unspecified,149.0,30.0
chùm hoa,1,W00673.mp4,Neutral / Unspecified,79.0,30.0
chùm khế,1,W00674.mp4,Neutral / Unspecified,89.0,30.0
chùm nho,1,W00676.mp4,Neutral / Unspecified,95.0,30.0
chùm vải,1,W00677.mp4,Neutral / Unspecified,91.0,30.0
chú ( người),1,W00506.mp4,Neutral / Unspecified,80.0,24.0
chú hề,1,W00650.mp4,Neutral / Unspecified,94.0,30.0
chú rể,1,W00651.mp4,Neutral / Unspecified,99.0,30.0
chú tễu,1,W00652.mp4,Neutral / Unspecified,145.0,30.0
chú ý,1,W00654.mp4,Neutral / Unspecified,76.0,30.0
chúi đầu,1,W00671.mp4,Neutral / Unspecified,86.0,30.0
chúng tôi (2 người) (đại từ),1,D0130.mp4,Neutral / Unspecified,106.0,30.0
chúng tôi (3 người) (đại từ),1,D0131.mp4,Neutral / Unspecified,121.0,30.0
chúng tôi (4 người) (đại từ),1,D0132.mp4,Neutral / Unspecified,89.0,30.0
chúng tôi (5 người) (đại từ),1,D0133.mp4,Neutral / Unspecified,99.0,30.0
chúng tôi (đại từ),1,D0134.mp4,Neutral / Unspecified,128.0,30.0
chăm học,1,W00507.mp4,Neutral / Unspecified,102.0,30.0
chương trình,1,W00713.mp4,Neutral / Unspecified,76.0,30.0
chạy,1,W00501.mp4,Neutral / Unspecified,81.0,30.0
chạy (động vật),1,D0175.mp4,Neutral / Unspecified,84.0,30.0
chạy bàn,1,W00502.mp4,Neutral / Unspecified,143.0,30.0
chạy chậm,1,W00503.mp4,Neutral / Unspecified,93.0,30.0
chạy nhanh,1,W00504.mp4,Neutral / Unspecified,60.0,30.0
chấm dứt,1,W00519.mp4,Neutral / Unspecified,106.0,30.0
chấm điểm,1,W00520.mp4,Neutral / Unspecified,80.0,30.0
chất dẻo,1,W00529.mp4,Neutral / Unspecified,79.0,30.0
chất hữu cơ,1,W00534.mp4,Neutral / Unspecified,139.0,30.0
chất lượng,1,W00537.mp4,Neutral / Unspecified,81.0,30.0
chất lỏng,1,W00536.mp4,Neutral / Unspecified,114.0,30.0
chất rắn,1,W00538.mp4,Neutral / Unspecified,94.0,30.0
chất thải,1,W00539.mp4,Neutral / Unspecified,106.0,30.0
chất đốt,1,W00530.mp4,Neutral / Unspecified,105.0,30.0
chất độc,1,W00531.mp4,Neutral / Unspecified,78.0,30.0
chất độc màu da cam,1,W00533.mp4,Neutral / Unspecified,80.0,30.0
chậm chạp,1,D0178.mp4,Neutral / Unspecified,104.0,30.0
chật chội,1,W00540.mp4,Neutral / Unspecified,92.0,30.0
chậu,1,W00545.mp4,Neutral / Unspecified,91.0,30.0
chặn,1,W00512.mp4,Neutral / Unspecified,135.0,30.0
chặt chẽ,1,W00514.mp4,Neutral / Unspecified,94.0,30.0
chỉ,1,W00564.mp4,Neutral / Unspecified,95.0,30.0
chỉ dẫn,1,W00565.mp4,Neutral / Unspecified,102.0,30.0
chỉ huy,1,W00567.mp4,Neutral / Unspecified,118.0,30.0
chỉ khâu,1,W00568.mp4,Neutral / Unspecified,137.0,30.0
chỉnh sửa,1,W00615.mp4,Neutral / Unspecified,86.0,30.0
chị dâu,1,W00572.mp4,Neutral / Unspecified,129.0,30.0
chọi gà,1,W00625.mp4,Neutral / Unspecified,100.0,30.0
chọi trâu,1,W00626.mp4,Neutral / Unspecified,107.0,30.0
chọn lọc,1,W00628.mp4,Neutral / Unspecified,123.0,30.0
chọn lựa,1,W00629.mp4,Neutral / Unspecified,96.0,30.0
chồi non,1,W00632.mp4,Neutral / Unspecified,98.0,30.0
chớp mắt,1,W00640.mp4,Neutral / Unspecified,99.0,30.0
chợ bến thành,1,W00634.mp4,Neutral / Unspecified,97.0,30.0
chợ nổi,1,W00635.mp4,Neutral / Unspecified,115.0,30.0
chợ nổi cái bè,1,W00636.mp4,Neutral / Unspecified,134.0,30.0
chợ nổi cái răng,1,W00637.mp4,Neutral / Unspecified,148.0,30.0
chục,1,W00666.mp4,Neutral / Unspecified,86.0,30.0
chục nghìn,1,W00667.mp4,Neutral / Unspecified,85.0,30.0
chục triệu,1,W00668.mp4,Neutral / Unspecified,84.0,30.0
chụp đèn,1,W00688.mp4,Neutral / Unspecified,99.0,30.0
chụp ảnh,1,W00687.mp4,Neutral / Unspecified,78.0,30.0
chủ nghĩa xã hội,1,W00645.mp4,Neutral / Unspecified,104.0,30.0
chủ ngữ,1,W00646.mp4,Neutral / Unspecified,124.0,30.0
chủ nhiệm,1,W00647.mp4,Neutral / Unspecified,75.0,30.0
chủ đề,1,W00642.mp4,Neutral / Unspecified,113.0,30.0
chủ động,1,W00644.mp4,Neutral / Unspecified,116.0,30.0
chức năng,1,W00710.mp4,Neutral / Unspecified,112.0,30.0
chức vụ,1,W00717.mp4,Neutral / Unspecified,256.0,30.0
chứng cớ,1,W00718.mp4,Neutral / Unspecified,110.0,30.0
chứng kiến,1,W00712.mp4,Neutral / Unspecified,109.0,30.0
chứng minh,1,W00719.mp4,Neutral / Unspecified,122.0,30.0
chứng nhận,1,W00720.mp4,Neutral / Unspecified,97.0,30.0
chữ,1,W00714.mp4,Neutral / Unspecified,92.0,30.0
chữ cái,1,W00705.mp4,Neutral / Unspecified,90.0,30.0
chữ hoa,1,W00706.mp4,Neutral / Unspecified,94.0,30.0
chữ viết,1,W00707.mp4,Neutral / Unspecified,104.0,30.0
chữa bệnh,1,W00716.mp4,Neutral / Unspecified,99.0,30.0
chữa cháy,1,W00709.mp4,Neutral / Unspecified,123.0,30.0
co dãn,1,W00721.mp4,Neutral / Unspecified,117.0,30.0
co giật,1,W00722.mp4,Neutral / Unspecified,98.0,30.0
cocacola,1,D0407.mp4,Neutral / Unspecified,119.0,30.0
coi thường,1,W00731.mp4,Neutral / Unspecified,80.0,24.0
con ba ba,1,W00733.mp4,Neutral / Unspecified,92.0,30.0
con bướm,1,W00736.mp4,Neutral / Unspecified,108.0,30.0
con chim,1,W00738.mp4,Neutral / Unspecified,182.0,30.0
con chuồn chuồn,1,W00741.mp4,Neutral / Unspecified,71.0,30.0
con chuột nhắt,1,W00743.mp4,Neutral / Unspecified,89.0,30.0
con chồn,1,W00740.mp4,Neutral / Unspecified,86.0,30.0
con cua,1,W00749.mp4,Neutral / Unspecified,87.0,30.0
con cá sấu,1,D0059.mp4,Neutral / Unspecified,106.0,30.0
con cò,1,W00745.mp4,Neutral / Unspecified,197.0,30.0
con cóc,1,W00746.mp4,Neutral / Unspecified,94.0,30.0
con công,1,W00748.mp4,Neutral / Unspecified,98.0,30.0
con cú mèo,1,W00750.mp4,Neutral / Unspecified,107.0,30.0
con cừu,1,W00751.mp4,Neutral / Unspecified,127.0,30.0
con dâu,1,W00752.mp4,Neutral / Unspecified,90.0,30.0
con dê,1,W00753.mp4,Neutral / Unspecified,83.0,30.0
con dế,1,W00754.mp4,Neutral / Unspecified,79.0,30.0
con ghẹ,1,W00762.mp4,Neutral / Unspecified,100.0,30.0
con gián,1,W00763.mp4,Neutral / Unspecified,77.0,30.0
con gà,1,W00759.mp4,Neutral / Unspecified,95.0,30.0
con gái,1,W00760.mp4,Neutral / Unspecified,87.0,30.0
con gấu,1,W00761.mp4,Neutral / Unspecified,84.0,30.0
con hoẵng,1,W00764.mp4,Neutral / Unspecified,95.0,30.0
con hàu,1,D0387.mp4,Neutral / Unspecified,128.0,30.0
con hươu,1,W00766.mp4,Neutral / Unspecified,92.0,30.0
con khỉ,1,W00767.mp4,Neutral / Unspecified,205.0,30.0
con lươn,1,W00771.mp4,Neutral / Unspecified,79.0,30.0
con mực,1,W00774.mp4,Neutral / Unspecified,86.0,30.0
con nai,1,W00775.mp4,Neutral / Unspecified,152.0,30.0
con ngỗng,1,W00776.mp4,Neutral / Unspecified,93.0,30.0
con nhím,1,W00779.mp4,Neutral / Unspecified,99.0,30.0
con quạ,1,W00783.mp4,Neutral / Unspecified,106.0,30.0
con ruồi,1,W00786.mp4,Neutral / Unspecified,83.0,30.0
con rùa,1,W00787N.mp4,N (Miền Nam / South),99.0,30.0
con rắn,1,W00784.mp4,Neutral / Unspecified,106.0,30.0
con rối,1,W00785.mp4,Neutral / Unspecified,86.0,30.0
con sâu,1,W00788.mp4,Neutral / Unspecified,94.0,30.0
con sò,1,W00789.mp4,Neutral / Unspecified,105.0,30.0
con sóc,1,W00790.mp4,Neutral / Unspecified,106.0,30.0
con sói,1,W00791.mp4,Neutral / Unspecified,75.0,30.0
con sông,1,W00792.mp4,Neutral / Unspecified,188.0,30.0
con số,1,W00793.mp4,Neutral / Unspecified,86.0,30.0
con tem,1,W00795.mp4,Neutral / Unspecified,90.0,30.0
con thỏ,1,W00796.mp4,Neutral / Unspecified,195.0,30.0
con trai,1,W04068.mp4,Neutral / Unspecified,79.0,30.0
con trai (động vật),1,W00798.mp4,Neutral / Unspecified,74.0,24.0
con trăn,1,W00799.mp4,Neutral / Unspecified,94.0,30.0
con trỏ,1,W00800.mp4,Neutral / Unspecified,103.0,30.0
con vượn,1,D0449.mp4,Neutral / Unspecified,103.0,30.0
con vẹt,1,W00801.mp4,Neutral / Unspecified,104.0,30.0
con vịt,1,W00802.mp4,Neutral / Unspecified,92.0,30.0
con đom đóm,1,W00756.mp4,Neutral / Unspecified,131.0,30.0
con đường,1,W00757.mp4,Neutral / Unspecified,96.0,30.0
con đẻ,1,W00755.mp4,Neutral / Unspecified,103.0,30.0
con ốc,1,W00782.mp4,Neutral / Unspecified,89.0,30.0
cong,1,W00804.mp4,Neutral / Unspecified,86.0,30.0
cu ba (nước cu ba),1,W00887.mp4,Neutral / Unspecified,104.0,30.0
cua đồng,1,D0386.mp4,Neutral / Unspecified,119.0,30.0
